"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5060057403273","PARACETAMOL","16","24.00","4.00","0.00"
"5038483000076","Paramol Ets 24 Tabs","4","33.96","5.68","0.00"
"5038832000009","AQUEOUS CREAM 500ML","4","5.96","1.00","0.00"
"5011417566299","Dettol Hand Hygiene Gel","4","7.20","1.20","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","4","27.96","4.68","0.00"
"5000158065420","Lemsip Max C/fl Dy/nght 16 Capsules","4","21.96","3.68","0.00"
"3574661170916","Migraleve Pink 12 Tabs","4","31.96","5.32","0.00"
"5012616170201","T.c.p. Lqd 100ml","4","23.96","4.00","0.00"
"-10826273","ALVITA DIGITAL THERMOMETER","4","15.96","2.68","0.00"
"5010724530986","ANUSOL HC SUPPOSITORIES","4","27.16","4.52","0.00"
"87111842","Dextro Energy Org & Vitc 47g","4","3.00","0.00","0.00"
"6921756492434","FLOWFLEX lateral flow test kits  5","4","36.00","6.00","0.00"
"5060464500206","Ibuprofen 400mg 48s","4","19.96","3.32","0.00"
"5010123703585","LISTERINE antiseptic mouthwash coolmint 500ml ","4","18.16","3.04","0.00"
"5054563062574","Night Nurse Capsules 10","4","28.64","4.76","0.00"
"5000347007309","Piriteze Allergy Syrup 70ml","4","24.36","4.08","0.00"
"5054563213501","VOLTAROL PLASTER","4","33.96","5.68","0.00"
"5010724533888","ANUSOL SOOTHING CLENSING WIPES","4","18.00","3.00","0.00"
"5012616262203","Buttercup Bronchostop Syr 200ml","4","43.96","7.32","0.00"
"5017371132068","Calypso After Sun Aloe Gel","4","15.96","2.68","0.00"
"5060057402931","CO CODAMOL","16","63.84","10.72","0.00"
"7622210412539","Halls Soothers Honey&lemon 10 Honey And Lemon","4","3.40","0.56","0.00"
"5031676000754","Hydrocortisone 1% Cream","4","32.76","5.48","0.00"
"010181145551","PALMERS COCOA BUTTER SOAP","4","11.96","2.00","0.00"
"50064861","Vaseline Lip Rosy 20g","4","7.72","1.28","0.00"
"5017007388258","LOPERAMIDE 2MG","4","15.36","2.56","0.00"
"3574661475301","ORALDENE medicated relief for mouth & throat infections 200ml ","4","20.00","3.32","0.00"
"010181032806","PALMERS COCONUT OIL BODY LOTION 250ML","4","19.96","3.32","0.00"
"5099514400142","WATER WIPES","4","11.44","1.92","0.00"
"4084500477360","Clearblue Digital Preg Test Sngle","4","49.16","8.20","0.00"
"5010605190018","Cystopurin Granules 6 X 7g Cranberry  3g","4","33.56","5.60","0.00"
"5012617020727","Glyceryl Trinitrate Spray","4","22.00","3.68","0.00"
"5034660508021","Halls Soothers Peach","4","3.40","0.56","0.00"
"5010441006481","Ibuprofen Tablets 200mg 24","4","12.76","2.12","0.00"
"5030104005224","JAKEMANS menthol lozenges honey & lemon 160g","4","7.96","1.32","0.00"
"5060057402894","Lactulose 500ml","4","35.96","6.00","0.00"
"5011309030112","Potassium Citrate Mix(care)","12","39.48","6.60","0.00"
"5011309861310","Windsetlers Gel Caps 24 Gel Caps  100mg","4","25.56","4.28","0.00"
"5010724531044","Anusol Suppositories 12s","4","17.96","3.00","0.00"
"5017371134826","CALYPSO sun protection continuous spray spf30 175ml","4","29.96","5.00","0.00"
"5010605054013","Canesten Crm 1% 20g","4","28.76","4.80","0.00"
"5011501000388","DEEP FREEZE muscle rescue cold spray 72.5ml","4","23.96","4.00","0.00"
"7350051300448","IHEARU EAR PLUG ONE SIZE","4","11.96","2.00","0.00"
"5016379270000","Otex Ear Drops 5%","4","22.40","3.72","0.00"
"5017007601333","SUDOCREM 60G","4","13.40","2.24","0.00"
"7322540852066","Tena Lady Discreet Norm 12","4","11.00","0.00","0.00"
"5010123708528","Actifed MultI-Action Tabs 12s","4","23.16","3.88","0.00"
"5010724530955","ANUSOL 23G CREAM","4","17.16","2.88","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","4","6.00","1.00","0.00"
"8001090036629","Clearblue _brand Clearblue Early Detecti Early Detection Visual","4","45.96","7.68","0.00"
"610370640722","FINGER & TOE NAIL POLISH WITH ACETONE","4","4.00","0.68","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","8","67.92","11.36","0.00"
"5030104004920","JAKEMANS menthol sweets throat & chest 41g","4","3.96","0.68","0.00"
"5060126090366","MELBOURNE SPRING WATER","4","4.00","0.68","0.00"
"5012616291654","NYTOL ONE A NGT 20 TABLETS","8","65.52","10.96","0.00"
"5011309115512","OPTICROM ALLERGY 2%","4","23.96","4.00","0.00"
"998","Prescriptions Private","12","256.88","0.00","0.00"
"5060057402153","ALMUS sleep aid tablets 50mg  20","8","43.92","7.36","0.00"
"5012674049907","Ovex Family Pack 4 Tabs","4","53.16","8.88","0.00"
"5017123055232","Paracetamol Caplets 32","4","6.00","1.00","0.00"
"5999554820330","POXCLIN COOL MOUSSE","4","43.96","7.32","0.00"
"5038483491676","Scholl Toenail Scissors","4","31.96","5.32","0.00"
"5012616267659","SOLPADEINE MAX 24","8","72.56","12.08","0.00"
