"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5060057403662","ASPIRIN 75MG","2","1.20","0.20","0.00"
"27122301","DISPENSARY SALE","2","6.00","1.00","0.00"
"5000167056549","Nurofen Tabs 200mg 24 Tabs","2","7.98","1.34","0.00"
"5010605295416","Rennie Sugar Free Tablets","2","6.58","1.10","0.00"
"5010605295256","Rennie Tabs 24 Peppermint","2","6.18","1.04","0.00"
"5000309007316","ROBITUSSIN CHESTY CGH 250ml","2","16.98","2.84","0.00"
"5034445001099","THE BODY DOCTOR eyelid wipes 0.9%","2","7.98","1.34","0.00"
"5391513951725","ANTHISAN cream 2% 25g","2","12.30","2.06","0.00"
"5012617017116","Aspirin Disp Tabs 75mg","2","1.70","0.28","0.00"
"5000283659181","Buscopan Ibs Relief 40tabs","2","16.68","2.78","0.00"
"5000347079016","EUMOVATE ECZ&DER CRM 15g","2","19.96","3.32","0.00"
"5012251009423","FACIAL WIPES SOFT APRICOT","2","2.00","0.34","0.00"
"4031626710789","Hyloforte Drops 10ml","2","17.98","3.00","0.00"
"5038483000076","Paramol Ets 24 Tabs","2","16.98","2.84","0.00"
"7610700612507","Ricola Drops 45g S/f Lemon Mint Box","2","2.90","0.48","0.00"
"5010123730642","Calpol Six Plus Sfree 200ml","4","35.96","6.00","0.00"
"5012008718509","CUTICURA bar soap mildly medicated for dry skin 100g","2","4.58","0.76","0.00"
"7350087736846","E45 ITCH RELIEF CREAM","4","27.96","4.68","0.00"
"5017007052302","Fluconazole 150mg Capsule","6","23.94","4.00","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","6","41.94","7.02","0.00"
"5000158065895","Gaviscon Double Act Liq 300ml Peppermint","2","17.98","3.00","0.00"
"5000158064591","Gaviscon Lqd Pepp/mint 150ml","2","8.98","1.50","0.00"
"3574661316123","OVEX SUSPENSION FAMILY PK 30ml","2","31.98","5.34","0.00"
"5054563076137","Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg","2","16.98","2.84","0.00"
"5011309401516","SIMPLE LINCTUS PAEDIATRIC S/F","2","5.38","0.90","0.00"
"3574660496970","Benylin Mucus Relief Ngt 150ml","2","18.18","3.04","0.00"
"5060209732442","EPIMAX cream 100g ","2","2.98","0.50","0.00"
"5034660508021","Halls Soothers Peach","2","1.70","0.28","0.00"
"5060057402894","Lactulose 500ml","2","17.98","3.00","0.00"
"8003520023322","PALMOLIVE liquid hand soap antibacterial 300ml","2","2.78","0.46","0.00"
"5033847001966","PYROCALM CONTROL 20MG 14TAB","2","22.98","3.84","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","2","16.98","2.84","0.00"
"5011417589229","NUROFEN PLUS IBUPROFEN.CODEINE 24TAB","2","19.60","3.26","0.00"
"5012616291654","NYTOL ONE A NGT 20 TABLETS","2","16.38","2.74","0.00"
"998","Prescriptions Private","2","16.00","0.00","0.00"
"5012616268007","SOLPADINE PLUS 24","4","29.08","4.84","0.00"
"5012251007047","BEAUTY FORMULAS intensive foot cream  100ml","2","2.78","0.46","0.00"
"5030104005187","JAKEMANS menthol lozenges peppermint 73g","4","7.96","1.32","0.00"
"991","MISC","4","19.54","3.26","0.00"
"5000347062193","Night Nurse 160ml","2","17.98","3.00","0.00"
"999","Prescriptions Nhs","72","712.80","0.00","0.00"
"3574660606027","SUDAFED DECONG TABS 12s","2","9.58","1.60","0.00"
"4015400259459","ALWAYS CLASSIC","2","3.18","0.54","0.00"
"5010123728854","Calpol 120mg/5ml Original","2","15.18","2.54","0.00"
"5060598253351","EMLA 5% CREAM","2","8.10","1.36","0.00"
"5060209732404","EPIMAX EXCETRA CREAM","2","6.68","1.12","0.00"
"5060209732428","EPIMAX ISOMOL GEL","2","7.40","1.24","0.00"
"5055144202938","IBUPROFEN 100MG/5ML ORAL SUSPENSION","2","13.28","2.22","0.00"
"5030104005163","JAKEMANS menthol lozenges blackcurrant 73g","2","2.18","0.36","0.00"
"5055144200941","Loratadine 5mg/5ml Syrup","2","5.10","0.86","0.00"
"5060025370026","Orajel Mouth Gel 10% Blue 5.3g","2","9.58","1.60","0.00"
"5010724533741","STERIMAR nasal spray hayfever 50ml ","2","9.98","1.66","0.00"
"5060018880105","Ultra Chlora Blkcrt Spry 15ml","2","12.30","2.06","0.00"
"8006540709528","ALWAYS ULTRA sanitary towels day & night with wing size 3 18","2","7.98","0.00","0.00"
"5011842107128","MAC sore throat lozenges honey & lemon flavour  12","2","2.84","0.48","0.00"
"5018632001628","SAFE & SOUND medicine organisers 7 day pill box reminder","2","2.78","0.46","0.00"
"5010605054075","CANESTEN 2% CREAM 20g","2","21.18","3.54","0.00"
"5012008771009","CUTICURA body powder mildly medicated 150g","2","5.50","0.92","0.00"
"96190968","EURAX HC CREAM","2","9.98","1.66","0.00"
"5000158071346","Gaviscon Dble Action Tablets Mint 24","2","10.98","1.84","0.00"
"7350087736747","HC45 HYDROCORTISONE CREAM","2","11.98","2.00","0.00"
"5000223414740","MELOLIN ADHESIVE low-adhesive absorbent dressing pads consumer/OTC pack  8.3cm x 6cm 5","2","7.08","1.18","0.00"
"5060709741197","NUTRIO BURST ULTRA VITAMIN D3 1000IU","2","15.98","2.66","0.00"
"5011309018110","SAVLON 15G","2","3.58","0.60","0.00"
"3331300097238","Sterimar Baby","2","9.98","1.66","0.00"
"5060057402153","ALMUS sleep aid tablets 50mg  20","8","43.92","7.36","0.00"
"5012616262210","Broncho Stop Liq 240ml","2","23.00","3.84","0.00"
"5030104005149","JAKEMANS menthol lozenges cherry 73g","2","2.18","0.36","0.00"
"8001841041391","Pampers Sensitive Baby Wipes 52s","2","2.40","0.40","0.00"
"5012616267659","SOLPADEINE MAX 24","8","72.56","12.08","0.00"
"42182634","Vaseline Petro Jelly 100ml","2","3.98","0.66","0.00"
"5018632296390","VELVET EYE MASK","2","4.98","0.84","0.00"
"5012617017109","Aspirin Disp Tabs 300mg 32s","2","5.00","0.84","0.00"
"5055382307808","CO CODAMOL","2","11.98","2.00","0.00"
"5000347054242","Corsodyl Dly Mw Cool Mint 500ml","2","9.00","1.50","0.00"
"5060057403518","LORATADINE 10MG","2","7.46","1.24","0.00"
