"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5012617017116","Aspirin Disp Tabs 75mg","1","0.85","0.14","0.00"
"5030451003430","Cetraben Emoll Crm 50g","1","2.70","0.45","0.00"
"5011309020014","Covonia Original Balsam","1","7.00","1.17","0.00"
"6003058068194","KEDLEY KNEE SUPPORT ","1","8.99","1.50","0.00"
"5038483000076","Paramol Ets 24 Tabs","2","16.98","2.84","0.00"
"5000283661900","DULCOLAX TWELVE PLUS 5MG 40TAB","1","5.82","0.97","0.00"
"5060209732459","EPIMAX","1","4.99","0.83","0.00"
"5011309083415","EURAX cooling itch relief gel 75g","1","5.99","1.00","0.00"
"5017007052302","Fluconazole 150mg Capsule","1","3.99","0.67","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","1","6.99","1.17","0.00"
"5035559100104","Ispaghula Orange","1","4.15","0.69","0.00"
"5054563076137","Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg","1","8.49","1.42","0.00"
"5010123710293","Sinutab Tablets 15s","1","6.49","1.08","0.00"
"5035559002507","AVOMINE 25MG TAB","1","7.58","1.26","0.00"
"3662042002953","BLEPHACLEAN EYELID WIPES 20","1","9.79","0.00","0.00"
"27122301","DISPENSARY SALE","1","4.85","0.81","0.00"
"96043509","Halls Citrus sf","2","1.70","0.28","0.00"
"7323190198351","Mepore Dressing 7x8cm","10","3.50","0.60","0.00"
"5011309027716","Simple Linctus Paediactric","1","2.69","0.45","0.00"
"5060133373841","Vizulize Dry Eyes Intensive Drops 10ml","1","4.59","0.77","0.00"
"8034135273116","ZASPRAY eye spray p/f for itchy dry red eyes 10ml","1","13.99","2.33","0.00"
"5011501013739","Deep Heat Muscle Roll On 50ml","1","5.29","0.88","0.00"
"5029053573717","KLEENEX allergy comfort tissues  56","3","6.00","0.99","0.00"
"5036072008687","MIGRAKIND tablets f/c 50mg  2","1","8.95","1.49","0.00"
"991","MISC","7","40.98","6.85","0.00"
"999","Prescriptions Nhs","29","287.10","0.00","0.00"
"5055382309086","TURMERIC 1000MG & VIT D","1","3.49","0.58","0.00"
"5017353506474","GALPHARM treathay tablets f/c 120mg  10","1","3.99","0.67","0.00"
"5010605830464","Germoloids Crm 25g","1","4.69","0.78","0.00"
"50696925","Halls Original","3","2.55","0.42","0.00"
"6003058068330","KEDLEY KINESIOLOGY TAPE","1","3.85","0.64","0.00"
"50620814","Magnesium Paste","1","5.49","0.92","0.00"
"5055144201658","PARACETAMOL CAPSULES 32S","1","2.00","0.33","0.00"
"5024874017150","Valupak Clo Caps 1000mg 30 Capsules 1000mg  1000mg","2","4.12","0.68","0.00"
"5060057403518","LORATADINE 10MG","2","7.46","1.24","0.00"
"5060194133026","AIRPURE CANDLE JAR RASPBERRY BLISS","1","7.99","1.33","0.00"
"5010605054013","Canesten Crm 1% 20g","1","7.19","1.20","0.00"
"5000283652038","Co Codamol 8/500mg Eff","1","5.99","1.00","0.00"
"5060135170684","Ferrous Fumarate 210mg Tablets","1","4.14","0.69","0.00"
"5012748111035","Movicol Sachets","1","15.46","2.58","0.00"
"5060076470645","OLIVE OIL","1","2.69","0.45","0.00"
"5017353506375","PERRIGO heartburn & acid reflux control capsules 20mg  7","1","3.99","0.67","0.00"
"7610700001059","RICOLA soothe & clear original herb 75g ","1","1.49","0.25","0.00"
"5018632274749","SAFE&SOUND STER ADHESIVE WATERPROOF","2","2.00","0.34","0.00"
"5018632073618","ASTD NAIL BRUSHES","1","1.29","0.22","0.00"
"3574661253848","BENADRYL ALLERGY one-a-day tablets 10mg  30","1","9.99","1.67","0.00"
"5010605190018","Cystopurin Granules 6 X 7g Cranberry  3g","1","8.39","1.40","0.00"
"50173686","Extra Chewing Gum Spearmint","1","0.79","0.13","0.00"
"5060057405550","INFECTED EYE OINTMENT","1","5.99","1.00","0.00"
"5000158100695","Nurofen Children S/berry 200ml","1","7.49","1.25","0.00"
"01040495002168071124","ZETUVIT 10CMX10CM","10","5.00","0.80","0.00"
"5060057402016","ALMUS paracetamol caplets 500mg  16","4","1.96","0.32","0.00"
"5018632242533","Antiseptic Spray 100ml","1","3.99","0.67","0.00"
"5000283661948","Dulcolax Liq 300ml PicO-Liquid  5mg/5ml","1","8.30","1.38","0.00"
"5031676000754","Hydrocortisone 1% Cream","1","8.19","1.37","0.00"
"5027599000025","Lotil Cream 50ml","1","3.60","0.60","0.00"
"809958002018","MEDIHONEY","3","26.55","4.44","0.00"
"309975122060","Mitchum Roll on","1","1.99","0.33","0.00"
"5011417579015","Senokot Max Strength","1","5.99","1.00","0.00"
"5010123667740","Benylin Child Night Cough","1","5.59","0.93","0.00"
"5031413953145","COTTON WOOL BALLS","1","1.00","0.17","0.00"
"4005800278907","ELASTOPLAST dressings sensitive xl 6cm x 7cm 5","1","4.32","0.72","0.00"
"5055158013216","Epaderm Cream 50g","1","3.49","0.58","0.00"
"5000167002126","Femfresh Deo Spray 125ml","1","2.77","0.46","0.00"
"5012617009470","FERROUS SULPHATE 200MG","1","2.19","0.37","0.00"
"5017931257019","FOSTER & GRANT 3.50","1","12.00","2.00","0.00"
"8718053571874","Nailner Fungal Nail Infection Brush 5ml Brush","1","19.99","3.33","0.00"
"5031550000863","SANCTUARY SPA BODY LOTION","1","8.00","1.33","0.00"
"7332551449049","Tubigrip 1m Size C","1","4.99","0.83","0.00"
"5060057401910","ALMUS erectile dysfunction relief tablets f/c 50mg  8","1","26.99","4.50","0.00"
"5060057402153","ALMUS sleep aid tablets 50mg  20","3","16.47","2.76","0.00"
"5024071310115","CO-Codamol 32s","4","15.96","2.68","0.00"
"5099186000909","HYDROCORTISONE CREAM 1% 15g","2","16.38","2.74","0.00"
"5000347090967","Milk Teeth","1","1.55","0.26","0.00"
"5017123055232","Paracetamol Caplets 32","2","3.00","0.50","0.00"
"5012616267659","SOLPADEINE MAX 24","2","18.14","3.02","0.00"
"5024874032061","Valupak Vit D3 1000iu 60s","3","3.42","0.57","0.00"
"5024874030579","GLOSAMINE & CHONDROITIN","2","4.38","0.74","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","3","25.47","4.26","0.00"
"3574661440460","JOHNSONS baby cotton buds  100","1","1.25","0.21","0.00"
"5060057402887","Lactulose 3.3g/5ml Oral Solusion","1","6.29","1.05","0.00"
"5060126090366","MELBOURNE SPRING WATER","1","1.00","0.17","0.00"
"7323190254859","MEPORE DRESSING 9X20CM/3.6X8IN","2","2.00","0.34","0.00"
"5011417589229","NUROFEN PLUS IBUPROFEN.CODEINE 24TAB","2","19.60","3.26","0.00"
"5011309115512","OPTICROM ALLERGY 2%","1","5.99","1.00","0.00"
"5060025370033","Orajel Ex Dental Gel 5.3g","2","12.98","2.16","0.00"
"998","Prescriptions Private","4","41.12","0.00","0.00"
"5012616268007","SOLPADINE PLUS 24","2","14.54","2.42","0.00"
